plot_id,entity_id,plot_number,year_started,production,total_coffee_area,active_coffee_area,rejuvenation_area
1469278379854642479_3,1469278379854642479,2.0,1998.0,10000.0,3.0,0.0,0.0
1469278379854640625_1,1469278379854640625,,2007.0,10000.0,2.5,0.0,0.0
1469883818362505174_1,1469883818362505174,,2015.0,4500.0,1.2,0.0,0.0
1469278379855039037_1,1469278379855039037,,2014.0,4000.0,1.0,,
1469278379855040664_1,1469278379855040664,,2013.0,4000.0,1.2,0.0,0.0
1469278379855036915_1,1469278379855036915,,2015.0,2000.0,0.5,0.0,0.0
1469278379855037067_1,1469278379855037067,,2016.0,4000.0,1.0,0.0,0.0
1469278379855038019_1,1469278379855038019,,2012.0,4000.0,1.0,0.0,0.0
1469278379855037842_1,1469278379855037842,,2009.0,7000.0,1.9,0.0,0.0
1469278379855040862_1,1469278379855040862,,2008.0,3500.0,1.0,0.0,0.0
1469278379855038442_1,1469278379855038442,2.0,1999.0,5000.0,1.5,,
1469278379855004727_1,1469278379855004727,,,,,,
1469278379855040212_1,1469278379855040212,,2018.0,3000.0,0.8,0.0,0.0
1469278379855039053_1,1469278379855039053,,2012.0,5000.0,1.5,0.0,0.0
1469278379855038729_1,1469278379855038729,,2000.0,3500.0,1.0,0.0,0.0
1469278379855038358_1,1469278379855038358,,2001.0,6500.0,1.6,0.0,0.0
1469278379855037425_1,1469278379855037425,2.0,1995.0,8000.0,2.7,0.0,0.0
1469278379855038409_1,1469278379855038409,,2001.0,2000.0,0.5,0.0,0.0
1469278379855039084_1,1469278379855039084,,2013.0,7000.0,2.0,0.0,0.0
1469278379855040001_1,1469278379855040001,4.0,2010.0,5000.0,1.5,0.0,0.0
1469278379855040001_2,1469278379855040001,3.0,2010.0,5000.0,1.5,0.0,0.0
1469278379855040001_3,1469278379855040001,2.0,2010.0,5000.0,1.5,0.0,0.0
1469278379855038668_1,1469278379855038668,2.0,2012.0,2000.0,0.5,0.0,0.0
1469278379855009580_1,1469278379855009580,,,,,,
1469278379855040455_1,1469278379855040455,2.0,2007.0,3000.0,0.8,0.0,0.0
1469278379855040422_1,1469278379855040422,2.0,2000.0,3500.0,1.0,0.0,0.0
1469278379855039608_1,1469278379855039608,,2009.0,2500.0,0.7,0.0,0.0
1469278379855038830_1,1469278379855038830,,1994.0,3500.0,1.0,0.0,0.0
1469278379855039042_1,1469278379855039042,,2010.0,5000.0,1.5,0.0,0.0
1469883818362505115_1,1469883818362505115,,2013.0,3500.0,1.0,0.0,0.0
1469883818362505118_1,1469883818362505118,,2019.0,3500.0,1.0,0.0,0.0
1469278379855038999_1,1469278379855038999,,2012.0,5000.0,1.5,0.0,0.0
1469278379855039728_1,1469278379855039728,,2010.0,2500.0,0.8,0.0,0.0
1469278379855039878_1,1469278379855039878,,1999.0,3000.0,1.0,0.0,0.0
1469278379855038499_1,1469278379855038499,,2006.0,3000.0,1.0,0.0,0.0
1469278379855039832_1,1469278379855039832,,2010.0,2500.0,0.8,,
1469278379855037698_1,1469278379855037698,,2008.0,6000.0,1.6,0.0,0.0
1469278379855037177_1,1469278379855037177,,2008.0,2500.0,0.7,,
1469278379855037185_1,1469278379855037185,,2005.0,7000.0,2.1,0.0,0.0
1469278379855040741_1,1469278379855040741,,2010.0,2000.0,0.6,0.0,0.0
1469278379855037201_1,1469278379855037201,,2003.0,3000.0,0.9,0.0,0.0
