entity_id,fertilizer_used,n_pct,p_pct,k_pct,unacceptable_4c,weed_management
1469278379855004491,,,,,,
1469278379854641314,NPK ??u trâu,16.0,16.0,8.0,No,combination of practices
1469278379855036603,npk 20-5-6,20.0,5.0,6.0,No,combination of practices
1469278379855037069,npk,25.0,5.0,5.0,No,hand hoe
1469278379855037183,NPK sao vàng,17.0,17.0,7.0,Yes,combination of practices
1469278379855037071,Npk,17.0,7.0,17.0,Yes,hand hoe
1469278379855036960,NPK sao vàng,16.0,16.0,8.0,Yes,mowing/cutting
1469278379855036789,npk ??u trâu,20.0,10.0,15.0,Yes,combination of practices
1469278379855037002,npk ??u trâu,16.0,16.0,8.0,Yes,combination of practices
1469278379855036719,Npk ??u trâu,20.0,10.0,15.0,Yes,combination of practices
1469278379855036643,NPK,16.0,8.0,16.0,Yes,combination of practices
1469278379855009751,NPK 20-10-10,20.0,10.0,10.0,No,combination of practices
1469278379855004455,,,,,,
1469278379855004533,,,,,,
1469278379855040784,NPK 20-10-5,20.0,0.0,0.0,Yes,hand hoe
1469278379855004487,,,,,,
1469278379855038127,npk,46.0,,,Yes,hand hoe
1469278379855004451,,,,,,
1469278379854782766,,,,,,
