plot_id,entity_id,plot_number,species,variety,year_started,polygon_area,total_coffee_area,coffee_area_active,coffee_area_rejuvenation,coffee_area_intercropping,intercropping_crops
879,7955439997586683570,1.0,,ROBUSTA Thi?n Tr??ng,2000.0,,2.0,0.0,0.0,0.0,"Black Pepper,Durian"
880,7955439997586683570,4.0,,ROBUSTA Thi?n Tr??ng,2013.0,,0.54,0.0,0.0,0.0,
881,7955439997586683570,3.0,,ROBUSTA Thi?n Tr??ng,2010.0,,1.0,0.0,0.0,0.0,Durian
882,7955439997586683570,5.0,,ROBUSTA Thi?n Tr??ng,2013.0,,0.33,0.0,0.0,0.0,
883,7955439997586683570,2.0,,ROBUSTA Thi?n Tr??ng,1999.0,,1.7,0.0,0.0,0.0,"Avocado,Durian"
884,7955439997586683506,1.0,,Robusta Xanh Lùn,2007.0,,0.7,0.0,0.0,0.0,
885,7955439997586683506,2.0,,Robusta Xanh Lùn,2008.0,,1.5,0.0,0.0,0.0,
886,7955439997585088377,,True,,,,,,,,
887,1470002575945822918,1.0,,Robusta,1995.0,,12.3,12.3,0.0,0.0,
888,7955439997586683688,1.0,,ROBUSTA Thi?n Tr??ng,2001.0,,0.3,0.0,0.0,0.0,"Avocado,Durian"
889,7955439997586687516,1.0,,Robusta TR4,1993.0,,0.2,0.0,0.0,0.0,
890,7955439997586686166,1.0,,,,,0.4,0.0,0.0,0.0,
891,1470002575945829848,1.0,,Robusta,1996.0,,1.52,1.52,0.0,0.0,
892,1470002575945830053,1.0,,Robusta,1990.0,,1.74,1.74,0.0,0.0,
893,7955439997588499935,1.0,,Robusta,2015.0,,1.03,0.0,0.0,0.0,
894,1470002575945829741,1.0,,Robusta,1998.0,,1.92,1.92,0.0,0.0,
895,1470002575945830076,1.0,,Robusta,1973.0,,1.08,1.08,0.0,0.0,Cocoa (Theobroma cacao)
896,1470002575936436181,1.0,True,LEMPIRA,2010.0,,5.25,5.0,0.0,0.0,Shade trees
897,1470002575945829956,1.0,,Robusta,1995.0,,1.29,1.29,0.0,0.0,
898,1470002575945829178,1.0,,Robusta,1970.0,,2.66,2.66,0.0,0.0,
899,7955439997586687475,1.0,,Robusta TR4,1999.0,,0.4,0.0,0.0,0.0,
900,1470002575945830089,1.0,,Robusta,1973.0,,1.7,1.7,0.0,0.0,
901,7955439997586685669,1.0,,,,,0.7,0.0,0.0,0.0,
902,1470002575945829977,1.0,,Robusta,2009.0,,3.96,3.96,0.0,0.0,
903,1470002575945829161,1.0,,Robusta,1992.0,,3.15,3.15,0.0,0.0,
904,7955439997586682339,2.0,,ROBUSTA Thi?n Tr??ng,2019.0,,4.8,0.0,0.0,0.0,
