entity_id,year_joined_nescafe_plan,training_sessions_male,training_sessions_female,training_sessions_youth,technical_visits,plantlets_received,plantlets_survived,condition_plantlets,renovation,expansion
1470002575945824747,2013.0,4 or more,,0,1,,,,,
1470002575945829101,2014.0,0,0,0,2,,,,,
7955439997587861655,2021.0,2,2,0,0,500.0,98.0,"Good: Plants are healthy, and phys. development is in line with their age.",,True
1470002575936435237,2023.0,0,0,0,0,,,,,
1470002575945824656,2013.0,4 or more,0,0,2,0.0,98.0,"Good: Plants are healthy, and phys. development is in line with their age.",,True
7955439997587859262,2024.0,0,3,0,1,1000.0,95.0,Cant answer,True,
7955439997586685516,2023.0,,,,1,,,,,
1470002575945828932,2014.0,1,0,0,1,,,,,
7955439997587861897,2016.0,2,0,0,1,150.0,95.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1470002575945832607,2014.0,4 or more,0,0,4 or more,,,,True,
7955439997587858571,2010.0,2,0,0,0,250.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997586683478,2018.0,,,,1,,,,True,
1470002575945828928,2014.0,1,0,0,2,,,,,
7955439997586686976,2023.0,,,,4 or more,,,,True,
7955439997586682514,2012.0,,,,0,,,,,
1470002575945829054,2014.0,1,0,0,2,,,,,
1470002575936435504,2023.0,2,0,0,4 or more,,,,True,False
7955439997588499920,2013.0,4 or more,0,0,4 or more,,,,,
1470002575945832187,2024.0,3,0,0,3,,,,,
7955439997586683823,2012.0,,,,2,,,,,
7955439997586685614,2024.0,,,,2,,,,True,
7955439997586683835,2014.0,,,,0,,,,,
1470002575945829050,2014.0,2,0,0,3,,,,,
7955439997586683527,2012.0,,,,3,,,,True,
7955439997586685626,2024.0,,,,1,,,,True,
7955439997586685606,2024.0,,,,1,,,,,
7955439997586687148,2024.0,,,,2,,,,True,
1470002575945832546,2013.0,4 or more,0,0,4 or more,,,,,
7955439997586683882,2014.0,,,,0,,,,,
7955439997586683830,2012.0,,,,2,,,,,
1470002575945825121,2017.0,4 or more,0,0,0,0.0,99.0,"Good: Plants are healthy, and phys. development is in line with their age.",False,True
7955439997587191885,2012.0,,,,4 or more,,,,,True
7955439997586682705,2014.0,,,,0,,,,,
7955439997586682617,2020.0,,,,0,,,,False,
1469278379854783002,2011.0,3,0,0,0,,,,,
1470002575945824237,2014.0,4 or more,0,0,1,0.0,95.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,False
1470002575945832320,2012.0,4 or more,0,0,4 or more,0.0,80.95,"Good: Plants are healthy, and phys. development is in line with their age.",,True
1470002575945831791,2022.0,3,0,0,2,,,,,
1469569898290016373,2020.0,0,1,2,1,10.0,5.0,Cant answer,True,
7955439997587858689,2020.0,1,0,0,1,300.0,80.0,Average (some plants are poorly developed but others are healthy),True,
7955439997587861810,2024.0,2,2,0,0,500.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997587858579,2017.0,1,0,0,0,500.0,80.0,Average (some plants are poorly developed but others are healthy),True,
7955439997588499923,2021.0,3,0,0,4 or more,,,,,
7955439997587861523,2021.0,3,0,0,2,,,,,
1470002575945824211,,,,,,,,,,
1470002575936436071,2023.0,0,0,0,0,,,,,
7955439997587861809,2023.0,2,4 or more,0,0,1000.0,50.0,Average (some plants are poorly developed but others are healthy),True,
1470002575936436536,2023.0,0,0,0,1,,,,True,
1470002575936436077,,,,,,,,,,
1470002575945824248,2014.0,4 or more,0,4 or more,1,0.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,False
